power.draw [W]
8.86
5.87
5.53
5.88
5.88
5.87
5.78
5.98
5.61
5.78
5.64
6.07
6.07
5.88
5.78
6.07
8.02
5.76
5.54
5.98
5.88
5.98
5.63
5.88
5.97
5.78
5.88
5.87
5.85
5.61
5.62
6.14
7.88
5.75
5.85
5.76
5.61
5.71
5.71
5.85
5.76
5.86
5.75
5.86
5.95
5.76
5.76
5.95
5.95
5.85
5.51
5.60
5.71
5.71
5.81
5.95
5.62
5.76
5.95
5.95
6.04
5.95
5.85
6.05
5.95
5.81
5.86
5.95
5.51
5.95
5.85
7.11
5.71
5.85
5.95
5.85
5.80
5.61
7.05
29.43
29.98
29.88
30.10
30.11
30.18
29.93
29.94
29.94
30.18
30.18
30.20
30.10
30.30
30.18
30.18
30.18
30.18
30.18
30.18
30.18
30.18
29.96
30.18
30.11
30.20
30.09
30.18
30.18
29.95
30.20
30.20
30.20
30.30
30.20
30.18
30.18
30.18
30.18
30.20
30.20
30.20
30.18
30.19
30.28
30.20
30.20
30.20
30.18
30.16
30.18
30.14
30.26
30.18
30.06
30.18
30.18
30.18
30.20
30.18
30.18
30.18
30.18
30.18
30.28
30.10
30.18
30.20
30.20
30.18
30.18
30.18
30.18
30.09
30.19
30.18
29.94
30.18
30.18
30.18
30.18
30.18
30.18
30.20
30.18
30.18
30.20
30.20
30.18
30.18
30.20
30.18
30.11
30.28
30.18
30.18
30.18
30.18
30.16
30.18
30.16
30.20
30.20
30.20
30.18
30.20
30.30
30.43
30.28
30.11
27.80
26.27
26.35
26.25
26.33
26.25
26.23
26.35
26.25
26.35
26.25
26.25
26.35
26.25
26.35
26.23
26.27
26.27
26.27
26.36
26.22
26.35
26.25
26.38
26.23
26.35
26.25
26.36
26.36
26.27
26.35
26.35
26.25
26.33
26.27
26.35
26.36
26.25
26.36
26.25
26.11
26.27
26.35
13.40
11.23
11.48
11.32
11.23
11.22
11.22
11.56
10.93
11.21
11.03
11.41
11.42
11.33
11.32
11.42
11.23
11.32
11.56
11.23
11.33
11.32
11.23
11.32
11.13
11.23
11.22
11.41
11.13
11.33
11.33
11.33
11.32
11.18
11.42
11.12
11.33
11.32
11.23
11.23
11.13
11.23
11.13
11.23
6.06
5.88
5.88
6.07
5.96
5.51
7.70
5.95
5.87
5.98
5.53
5.97
5.62
6.07
5.87
5.86
5.97
5.87
5.78
5.97
5.97
5.72
8.01
5.63
5.88
5.88
5.77
5.88
5.88
5.97
5.88
5.88
5.87
5.96
5.87
5.96
5.71
5.78
5.87
6.07
5.87
5.88
6.07
6.07
5.88
5.86
5.98
5.78
5.88
5.87
5.78
5.96
5.78
5.98
5.88
5.88
6.07
5.88
5.88
8.35
5.86
5.87
5.88
5.87
5.88
5.87
5.97
5.78
5.88
5.88
5.87
5.88
5.98
6.21
6.07
8.15
5.88
6.07
5.88
5.87
5.97
5.88
5.78
5.87
5.78
5.87
5.98
5.98
5.78
6.07
5.88
8.24
5.97
5.98
5.88
5.88
5.76
5.88
5.78
5.87
5.88
5.78
6.01
5.88
5.97
5.88
5.88
5.87
5.98
5.63
5.88
5.88
5.87
5.83
5.78
5.63
5.88
5.97
5.96
6.07
5.88
5.78
5.88
5.68
5.97
